no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,required_car_parking_space,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,no_of_special_requests,month,day_of_month,day_of_year,week_of_month,week_of_year,day_of_week,year,is_wknd,quarter,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,lead_time_transf,type_of_meal_plan_Not Selected,type_of_meal_plan_other,room_type_reserved_Room_Type 4,room_type_reserved_other,market_segment_type_Online,market_segment_type_other,avg_price_per_room_mm,status
2,0,0,3,0,0,0,0,1,3,17,76,3,11,6,2018,1,1,0,0,0,0,0,0,0.25321778840332065,0,0,0,0,1,0,0.3897696679629075,1
3,0,1,1,0,0,0,0,0,6,20,171,3,25,3,2018,0,2,0,0,0,0,0,0,-0.9624117371999295,0,0,1,0,1,0,0.9443613520789709,1
1,0,0,2,0,0,0,0,0,6,24,175,4,25,7,2018,1,2,0,0,0,0,0,0,1.3091737475690068,0,0,0,0,0,0,0.4537840263236614,0
2,0,0,2,0,0,0,0,0,12,2,336,1,48,7,2018,1,4,0,0,0,0,0,0,1.107662914478282,1,0,0,0,1,0,0.35925815136105294,1
1,0,1,2,0,0,0,0,0,11,7,311,1,45,3,2018,0,4,0,0,0,0,0,0,-0.1685781582022173,0,0,0,0,1,0,0.742626383487885,0
2,0,2,1,0,0,0,0,0,10,22,295,4,43,1,2018,0,4,0,0,0,0,0,0,1.3737384027322685,0,0,1,0,1,0,0.5423272509721806,1
2,0,2,2,0,0,0,0,1,6,19,170,3,25,2,2018,0,2,0,0,0,0,0,0,-0.13317219945353223,1,0,0,0,1,0,0.30493568650912356,0
1,0,0,1,0,0,0,0,0,8,12,224,2,32,7,2018,1,3,0,0,0,0,0,0,1.4905473316502045,0,1,0,0,0,0,0.32216571941370026,0
3,0,0,1,0,0,0,0,0,3,24,83,4,12,6,2018,1,1,0,0,0,0,0,0,-0.3430212391179341,0,0,1,0,1,0,0.671552497756506,1
1,0,1,0,0,0,0,0,0,9,25,268,4,39,2,2018,0,3,0,0,0,0,0,0,-1.1960679773682705,0,0,0,0,0,0,0.4238707747532156,1
2,0,1,2,0,0,0,0,2,10,31,304,5,44,3,2018,0,4,0,1,0,0,0,0,-1.384355375311487,0,0,0,0,1,0,0.7768471432844749,0
2,0,1,3,0,0,0,0,1,11,3,307,1,44,6,2018,1,4,0,0,0,0,0,0,0.37605206776477507,0,0,1,0,1,0,0.43583607538139396,0
1,0,0,2,0,0,0,0,0,11,20,324,3,47,1,2017,0,4,0,0,0,0,0,0,-0.43039835822982425,0,0,0,0,0,0,0.32216571941370026,0
1,0,0,1,0,0,0,0,0,2,19,50,3,8,1,2018,0,1,0,0,0,0,0,0,-1.5506363990851626,0,0,0,0,0,1,0.3700269219264134,0
1,0,0,2,0,0,0,0,0,10,15,288,3,41,7,2017,1,4,0,0,0,0,0,0,-0.9624117371999295,0,0,0,0,0,0,0.48369727789410705,0
2,0,0,2,0,0,0,0,1,5,6,126,1,18,7,2018,1,2,0,0,0,0,0,0,0.8962685498435093,0,0,0,0,1,0,0.5154053245587794,0
2,0,0,2,0,0,0,0,0,11,18,322,3,46,7,2018,1,4,0,0,0,0,0,0,0.07466505510616514,0,0,0,0,0,0,0.33413102004187856,0
2,0,0,3,0,0,0,0,1,8,24,236,4,34,5,2018,1,3,0,0,0,0,0,0,1.341740202628439,0,0,0,0,0,0,0.31767873167813343,0
2,0,1,1,0,0,0,0,0,6,4,155,1,23,1,2018,0,2,0,0,0,0,0,0,1.788405822607394,0,0,0,0,0,0,0.261142686209991,1
1,0,2,5,0,0,0,0,0,5,12,132,2,19,6,2018,1,2,0,0,0,0,0,0,-0.9624117371999295,0,0,0,0,0,1,0.4537840263236614,0
3,0,1,4,0,0,0,0,1,8,15,227,3,33,3,2018,0,3,0,0,0,0,0,0,1.2693081639447708,0,0,1,0,1,0,0.6634759198324858,1
1,0,0,1,1,1,0,7,0,5,11,131,2,19,5,2018,1,2,0,0,0,0,0,0,-1.7911413536931085,0,0,0,0,0,1,0.2862698175291654,0
2,0,2,3,0,0,0,0,1,10,30,303,5,44,2,2018,0,4,0,0,0,0,0,0,-1.384355375311487,0,0,0,0,1,0,0.4981154651510619,0
2,0,1,2,0,0,0,0,0,6,20,171,3,25,3,2018,0,2,0,0,0,0,0,0,1.3157336877091237,0,0,0,0,0,0,0.6033502841758899,1
2,0,2,0,0,0,0,0,0,6,26,177,4,26,2,2018,0,2,0,0,0,0,0,0,-0.32223907214370695,0,0,0,0,1,0,0.48309901286269824,0
2,0,0,2,0,0,0,0,1,6,15,166,3,24,5,2018,1,2,0,0,0,0,0,0,1.6886516700477643,0,1,0,0,0,0,0.5734370326054441,1
2,0,1,3,0,0,0,0,0,8,4,216,1,31,6,2018,1,3,0,0,0,0,0,0,1.3926744519107204,1,0,0,0,1,0,0.3685312593478911,1
2,0,2,2,0,0,0,0,1,2,5,36,1,6,1,2018,0,1,0,0,0,0,0,0,-0.47695498147585763,0,0,1,0,1,0,0.4196829195333533,0
2,0,2,3,0,0,0,0,1,12,26,360,4,52,2,2017,0,4,0,0,0,0,0,0,0.47810469314085197,0,0,1,0,0,0,0.24439126533054145,0
2,0,0,2,0,0,0,0,0,2,11,42,2,6,7,2018,1,1,0,0,0,0,0,0,-0.1158600232696961,0,0,0,0,1,0,0.4196829195333533,0
2,0,1,3,0,0,0,0,0,9,22,265,4,38,6,2018,1,3,0,0,0,0,0,0,-0.7813917674178052,1,0,0,0,1,0,0.7319772659288064,1
2,0,1,4,0,0,0,0,1,8,8,220,2,32,3,2018,0,3,0,0,0,0,0,0,0.5318335994087854,0,0,0,0,1,0,0.5907867185163027,0
2,0,0,3,0,0,0,0,0,2,4,35,1,5,7,2018,1,1,0,0,0,0,0,0,-0.24280505582449466,0,0,1,0,1,0,0.37870176488184265,1
3,0,1,1,0,0,0,0,2,4,18,108,3,16,3,2018,0,2,0,0,0,0,0,0,-0.3642076811062532,0,0,1,0,1,0,0.7092431947352675,0
2,0,0,1,0,0,0,0,1,12,8,342,2,49,5,2017,1,4,0,0,0,0,0,0,-1.0038440334366296,0,0,1,0,1,0,0.4657493269518396,0
3,0,0,3,0,0,0,0,0,2,4,35,1,5,7,2018,1,1,0,0,0,0,0,0,-1.2531952897202767,0,0,0,0,1,0,0.6452288363745138,1
2,0,1,2,0,0,0,0,0,11,13,317,2,46,1,2017,0,4,0,0,0,0,0,0,-1.6566898309690214,0,0,0,0,0,0,0.268321866586898,0
2,0,2,2,0,0,0,0,0,5,21,141,3,21,1,2018,0,2,0,0,0,0,0,0,0.5105779282303068,1,0,0,0,1,0,0.5414298534250672,1
2,2,1,4,0,0,0,0,0,7,11,192,2,28,3,2018,0,3,0,0,0,0,0,0,0.9128783840598458,0,0,0,1,1,0,0.897397547113371,1
2,0,4,5,0,0,0,0,2,12,18,352,3,51,2,2018,0,4,0,0,0,0,0,0,0.11808811296546529,0,0,0,0,1,0,0.41429853425067303,0
2,0,1,5,1,0,0,0,1,5,24,144,4,21,4,2018,0,2,0,0,0,0,0,0,0.8710332127543804,0,0,1,0,1,0,0.6461262339216273,0
2,0,2,2,0,0,0,0,0,3,6,65,1,10,2,2018,0,1,0,0,0,0,0,0,-0.5510080442930118,0,0,0,0,0,0,0.4059228238109482,0
3,0,2,4,0,0,0,0,0,8,14,226,2,33,2,2018,0,3,0,0,0,0,0,0,0.6727116092950133,0,0,1,0,1,0,0.7846245886927908,1
2,0,0,3,0,0,0,0,2,10,7,280,1,40,6,2017,1,4,0,0,0,0,0,0,-1.315514612291896,0,0,0,0,1,0,0.866586897995812,0
2,0,1,0,0,0,0,0,0,10,16,289,3,42,2,2018,0,4,0,0,0,0,0,0,1.8439888333296315,0,0,0,0,0,0,0.4238707747532156,1
2,0,2,4,0,0,0,0,0,3,20,79,3,12,2,2018,0,1,0,0,0,0,0,0,0.37605206776477507,0,0,0,0,1,0,0.2528268022734071,0
2,0,0,3,0,0,0,0,1,11,11,315,2,45,6,2017,1,4,0,0,0,0,0,0,-1.2531952897202767,0,0,1,0,1,0,0.525575830092731,0
1,2,0,2,0,0,0,0,1,1,29,29,5,5,1,2018,0,1,0,0,0,0,0,0,-1.1960679773682705,0,0,0,1,1,0,0.3505833084056237,0
2,2,1,2,0,0,0,0,1,3,28,87,4,13,3,2018,0,1,0,0,0,0,0,0,0.0448729401356539,0,0,0,1,1,0,0.8058629973078072,0
2,0,2,2,0,0,0,0,1,9,3,246,1,36,1,2018,0,3,0,0,0,0,0,0,0.01435964032245719,0,0,1,0,1,0,0.6056236912952436,0
2,0,0,1,0,0,0,0,1,2,6,37,1,6,2,2018,0,1,0,0,0,0,0,0,-1.1431884582559426,0,0,0,0,1,0,0.44181872569548303,0
1,0,2,5,0,0,0,0,2,9,12,255,2,37,2,2017,0,3,0,0,0,0,0,0,1.672435948266263,0,0,0,0,1,0,0.3685312593478911,0
1,0,2,3,0,0,0,0,0,3,27,86,4,13,2,2018,0,1,0,0,0,0,0,0,0.7568733526288431,0,0,0,0,1,0,0.35836075381393956,1
3,0,0,2,0,0,0,0,3,5,6,126,1,18,7,2018,1,2,0,0,0,0,0,0,-0.032860382011120716,0,0,1,0,1,0,0.8384684415195931,0
2,0,0,1,0,0,0,0,0,3,22,81,4,12,4,2018,0,1,0,0,0,0,0,0,-1.6566898309690214,0,0,0,0,1,0,0.4896799282081962,0
2,0,0,2,0,0,0,0,0,2,4,35,1,5,7,2018,1,1,0,0,0,0,0,0,-0.4534162547522294,0,0,0,0,0,1,0.3460963206700568,0
1,0,2,5,1,0,0,0,1,3,15,74,3,11,4,2018,0,1,0,0,0,0,0,0,-0.032860382011120716,0,0,0,0,1,0,0.38749626084355365,0
2,1,0,2,0,0,0,0,1,9,27,270,4,39,4,2018,0,3,0,0,0,0,0,0,-0.26214118630559197,0,0,0,0,1,0,0.7043972479808553,1
1,0,0,1,0,0,0,0,1,9,2,245,1,35,6,2017,1,3,0,0,0,0,0,0,-1.5506363990851626,0,0,0,0,1,0,0.4537840263236614,0
1,0,0,3,0,0,0,0,0,5,31,151,5,22,4,2018,0,2,0,1,0,0,0,0,-1.7911413536931085,1,0,0,0,1,0,0.4105892910559377,0
1,0,1,3,0,0,0,0,0,5,9,129,2,19,3,2018,0,2,0,0,0,0,0,0,0.69181222134396,0,0,0,0,1,0,0.41938378701764883,1
2,0,1,3,0,0,0,0,0,4,28,118,4,17,6,2018,1,2,0,0,0,0,0,0,0.3993701532815155,1,0,0,0,1,0,0.4982351181573437,1
1,0,0,3,0,0,0,0,2,10,25,298,4,43,4,2018,0,4,0,0,0,0,0,0,-1.047549579600935,0,0,0,0,1,0,0.6631767873167812,0
2,0,1,3,0,0,0,0,2,8,15,227,3,33,3,2018,0,3,0,0,0,0,0,0,1.21474209703279,0,0,0,0,1,0,0.4804068202213581,0
1,0,0,2,0,0,0,0,0,6,24,175,4,25,7,2018,1,2,0,0,0,0,0,0,1.3091737475690068,0,0,0,0,0,0,0.4537840263236614,0
1,0,0,1,0,0,0,0,0,4,6,96,1,14,5,2018,1,2,0,0,0,0,0,0,-1.985608868000325,0,1,1,0,0,0,0.43583607538139396,0
2,0,1,1,0,0,0,0,1,9,21,264,3,38,4,2017,0,3,0,0,0,0,0,0,-1.384355375311487,1,0,0,0,1,0,0.4105892910559377,0
2,0,2,3,0,0,0,0,0,3,31,90,5,13,6,2018,1,1,0,1,0,1,0,0,0.316001044031059,0,0,0,0,1,0,0.37870176488184265,0
2,0,1,2,0,0,0,0,0,8,26,238,4,34,7,2018,1,3,0,0,0,0,0,0,0.6139383056034631,0,0,1,0,1,0,0.671552497756506,1
1,0,0,1,0,1,0,11,1,3,2,61,1,9,5,2018,1,1,0,0,0,0,0,0,-1.985608868000325,0,0,0,0,0,1,0.2743045169009871,0
2,0,2,5,0,0,0,0,0,9,18,261,3,38,2,2018,0,3,0,0,0,0,0,0,0.7106798152491427,0,1,1,0,1,0,0.7340113670355967,0
2,0,1,1,0,0,0,0,1,10,17,290,3,42,2,2017,0,4,0,0,0,0,0,0,-0.3642076811062532,0,0,0,0,1,0,0.5127131319174393,0
2,0,0,2,0,0,0,0,2,10,8,281,2,40,7,2017,1,4,0,0,0,0,0,0,-0.6310097636957879,0,0,0,0,1,0,0.525575830092731,0
2,0,0,2,0,0,0,0,0,4,13,103,2,15,5,2018,1,2,0,0,0,0,0,0,0.0448729401356539,0,0,0,0,1,0,0.5154053245587794,1
2,0,0,1,0,0,0,0,1,6,15,166,3,24,5,2018,1,2,0,0,0,0,0,0,0.7200283747713166,0,0,0,0,1,0,0.644630571343105,0
2,0,0,1,0,0,0,0,0,4,6,96,1,14,5,2018,1,2,0,0,0,0,0,0,0.6139383056034631,0,0,0,0,0,0,0.33413102004187856,1
1,0,2,1,0,0,0,0,0,2,28,59,4,9,3,2018,0,1,0,1,0,0,0,0,0.7200283747713166,0,0,0,0,1,0,0.2503739156446306,1
2,0,0,4,0,0,0,0,1,9,21,264,3,38,5,2018,1,3,0,0,0,0,0,0,1.8834883542811374,0,1,0,0,0,0,0.5854023332336225,1
2,0,0,3,0,0,0,0,0,6,8,159,2,23,5,2018,1,2,0,0,0,0,0,0,-1.2531952897202767,0,0,1,0,1,0,0.7389769667962905,1
2,0,1,2,0,0,0,0,0,9,9,252,2,36,7,2018,1,3,0,0,0,0,0,0,1.3481845240699801,0,0,0,0,0,0,0.4238707747532156,1
1,0,0,1,0,0,0,0,0,3,16,75,3,11,5,2018,1,1,0,0,0,0,0,0,-1.384355375311487,0,0,0,0,0,1,0.3580616212982351,0
1,0,2,3,0,0,0,0,1,2,26,57,4,9,1,2018,0,1,0,0,0,0,0,0,-1.7911413536931085,0,0,1,0,1,0,0.5471133712234518,0
1,0,2,0,0,0,0,0,1,9,25,268,4,39,2,2018,0,3,0,0,0,0,0,0,-1.5506363990851626,1,0,0,0,1,0,0.5948549207298832,0
2,1,0,1,0,0,0,0,2,7,29,210,5,30,7,2018,1,3,0,0,0,0,0,0,-0.8492925336098945,0,0,0,0,1,0,0.6571941370026921,0
2,0,1,2,0,0,0,0,1,11,11,315,2,45,7,2018,1,4,0,0,0,0,0,0,-0.24280505582449466,0,0,0,0,1,0,0.6113072090936283,1
2,0,0,1,0,0,0,0,1,1,2,2,1,1,2,2018,0,1,0,0,0,0,0,0,-1.315514612291896,0,0,0,0,1,0,0.5973676338618007,0
2,0,1,2,0,0,0,0,0,9,9,252,2,36,7,2018,1,3,0,0,0,0,0,0,1.3481845240699801,0,0,0,0,0,0,0.4238707747532156,1
3,0,0,3,0,0,0,0,0,8,4,216,1,31,6,2018,1,3,0,0,0,0,0,0,1.1296094883125278,0,0,1,0,1,0,0.7092431947352675,1
2,0,0,1,0,0,0,0,0,4,6,96,1,14,5,2018,1,2,0,0,0,0,0,0,-0.0011810930312185599,0,1,0,0,0,0,0.5076278791504636,0
2,0,0,3,0,0,0,0,0,10,4,277,1,40,4,2018,0,4,0,0,0,0,0,0,-0.7492897975185061,0,0,0,0,1,0,0.7768471432844749,0
3,0,2,2,0,0,0,0,0,12,2,336,1,48,7,2018,1,4,0,0,0,0,0,0,0.07466505510616514,0,0,1,0,1,0,0.6151959317977863,1
1,0,1,2,0,0,0,0,1,2,5,36,1,6,1,2018,0,1,0,0,0,0,0,0,-1.7911413536931085,1,0,0,0,1,0,0.23230631169608135,0
1,0,0,1,0,0,0,0,0,8,26,238,4,34,6,2017,1,3,0,0,0,0,0,0,-1.7911413536931085,0,0,0,0,0,1,0.2743045169009871,0
