no_of_weekend_nights,year,market_segment_type_Online,day_of_week,market_segment_type_other,no_of_special_requests,required_car_parking_space,avg_price_per_room_mm,repeated_guest,type_of_meal_plan_Not Selected,lead_time_transf,is_wknd
6,2018,0,5,1,0,0,0.6631767873167812,0,0,-1.2531952897202767,1
0,2017,0,6,0,2,0,0.5614717319772659,0,0,-0.9624117371999296,1
1,2018,1,2,0,0,0,0.6033502841758899,0,0,-1.985608868000325,0
0,2017,1,7,0,1,0,0.3176787316781334,0,0,0.7928762038744863,1
0,2017,0,6,0,0,0,0.2342207597965898,0,0,0.0448729401356539,1
2,2018,0,2,0,0,0,0.2443912653305414,0,0,0.2403057213172697,0
0,2018,1,5,0,1,0,0.3329344899790607,0,1,-0.1331721994535322,1
2,2018,1,2,0,1,0,0.5555489081663176,0,0,1.2693081639447708,0
2,2018,1,2,0,0,0,0.6634759198324858,0,0,0.5527874866365081,0
0,2018,1,5,0,1,0,0.5854023332336225,0,0,1.8932465238917504,1
2,2018,1,5,0,0,0,0.4451091833682321,0,1,0.4223108037762752,1
0,2018,0,4,1,1,0,0.7230032904576726,0,0,0.132243302045638,0
2,2017,1,3,0,0,0,0.1986838169309003,0,0,0.3993701532815155,0
2,2018,0,3,0,0,0,0.2443912653305414,0,0,-1.985608868000325,0
2,2018,1,6,0,0,0,0.7230032904576726,0,0,-0.9624117371999296,1
0,2018,1,4,0,0,0,0.5261740951241399,0,0,0.6337823531304649,0
1,2017,1,4,0,0,0,0.3431049955130122,0,0,0.2532177884033206,0
0,2018,0,5,0,0,0,0.6631767873167812,0,0,1.2826945029096373,1
0,2017,0,7,0,0,0,0.3042177684714328,0,0,1.100285175975823,1
2,2018,1,2,0,0,0,0.4854920729883338,0,0,1.736521529734345,0
2,2018,1,7,0,0,0,0.4948848339814538,0,0,0.2272686863786324,1
0,2018,0,4,0,0,0,0.6033502841758899,0,0,-1.985608868000325,0
0,2018,1,7,0,1,0,0.6272808854322464,0,0,-0.4303983582298242,1
0,2017,1,1,0,1,0,0.3176787316781334,0,0,0.4560457404498526,0
1,2018,1,7,0,0,0,0.9838468441519592,0,0,0.1873772341666324,1
1,2018,1,6,0,1,0,0.3787017648818426,0,0,0.4223108037762752,1
0,2017,0,6,1,0,0,0.2743045169009871,0,0,-1.047549579600935,1
2,2018,1,1,0,1,0,0.5782231528567154,0,0,0.2532177884033206,0
2,2018,0,1,0,0,0,0.5734370326054441,0,0,1.107662914478282,0
2,2018,1,2,0,0,0,0.4119054741250373,0,0,-1.7911413536931085,0
0,2018,1,6,0,1,0,0.3897696679629075,0,0,0.2532177884033206,1
1,2018,1,3,0,0,0,0.9443613520789708,0,0,-0.9624117371999296,0
0,2018,0,7,0,0,0,0.4537840263236614,0,0,1.3091737475690068,1
0,2018,1,7,0,0,0,0.3592581513610529,0,1,1.107662914478282,1
1,2018,1,3,0,0,0,0.742626383487885,0,0,-0.1685781582022173,0
2,2018,1,1,0,0,0,0.5423272509721806,0,0,1.3737384027322683,0
2,2018,1,2,0,1,0,0.3049356865091235,0,1,-0.1331721994535322,0
0,2018,0,7,0,0,0,0.3221657194137002,0,0,1.4905473316502045,1
0,2018,1,6,0,0,0,0.671552497756506,0,0,-0.3430212391179341,1
1,2018,0,2,0,0,0,0.4238707747532156,0,0,-1.1960679773682703,0
1,2018,1,3,0,2,0,0.7768471432844749,0,0,-1.384355375311487,0
1,2018,1,6,0,1,0,0.4358360753813939,0,0,0.376052067764775,1
0,2017,0,1,0,0,0,0.3221657194137002,0,0,-0.4303983582298242,0
0,2018,0,1,1,0,0,0.3700269219264134,0,0,-1.5506363990851626,0
0,2017,0,7,0,0,0,0.483697277894107,0,0,-0.9624117371999296,1
0,2018,1,7,0,1,0,0.5154053245587794,0,0,0.8962685498435093,1
0,2018,0,7,0,0,0,0.3341310200418785,0,0,0.0746650551061651,1
0,2018,0,5,0,1,0,0.3176787316781334,0,0,1.341740202628439,1
1,2018,0,1,0,0,0,0.261142686209991,0,0,1.788405822607394,0
2,2018,0,6,1,0,0,0.4537840263236614,0,0,-0.9624117371999296,1
1,2018,1,3,0,1,0,0.6634759198324858,0,0,1.2693081639447708,0
0,2018,0,5,1,0,1,0.2862698175291654,1,0,-1.7911413536931085,1
2,2018,1,2,0,1,0,0.4981154651510619,0,0,-1.384355375311487,0
1,2018,0,3,0,0,0,0.6033502841758899,0,0,1.3157336877091237,0
2,2018,1,2,0,0,0,0.4830990128626982,0,0,-0.3222390721437069,0
0,2018,0,5,0,1,0,0.5734370326054441,0,0,1.6886516700477645,1
1,2018,1,6,0,0,0,0.3685312593478911,0,1,1.3926744519107204,1
2,2018,1,1,0,1,0,0.4196829195333533,0,0,-0.4769549814758576,0
2,2017,0,2,0,1,0,0.2443912653305414,0,0,0.4781046931408519,0
0,2018,1,7,0,0,0,0.4196829195333533,0,0,-0.1158600232696961,1
1,2018,1,6,0,0,0,0.7319772659288064,0,1,-0.7813917674178052,1
1,2018,1,3,0,1,0,0.5907867185163027,0,0,0.5318335994087854,0
0,2018,1,7,0,0,0,0.3787017648818426,0,0,-0.2428050558244946,1
1,2018,1,3,0,2,0,0.7092431947352675,0,0,-0.3642076811062532,0
0,2017,1,5,0,1,0,0.4657493269518396,0,0,-1.0038440334366296,1
0,2018,1,7,0,0,0,0.6452288363745138,0,0,-1.2531952897202767,1
1,2017,0,1,0,0,0,0.268321866586898,0,0,-1.6566898309690214,0
2,2018,1,1,0,0,0,0.5414298534250672,0,1,0.5105779282303068,0
1,2018,1,3,0,0,0,0.897397547113371,0,0,0.9128783840598458,0
4,2018,1,2,0,2,0,0.414298534250673,0,0,0.1180881129654652,0
1,2018,1,4,0,1,1,0.6461262339216273,0,0,0.8710332127543804,0
2,2018,0,2,0,0,0,0.4059228238109482,0,0,-0.5510080442930118,0
2,2018,1,2,0,0,0,0.7846245886927908,0,0,0.6727116092950133,0
0,2017,1,6,0,2,0,0.866586897995812,0,0,-1.315514612291896,1
1,2018,0,2,0,0,0,0.4238707747532156,0,0,1.8439888333296317,0
2,2018,1,2,0,0,0,0.2528268022734071,0,0,0.376052067764775,0
0,2017,1,6,0,1,0,0.525575830092731,0,0,-1.2531952897202767,1
0,2018,1,1,0,1,0,0.3505833084056237,0,0,-1.1960679773682703,0
1,2018,1,3,0,1,0,0.8058629973078072,0,0,0.0448729401356539,0
2,2018,1,1,0,1,0,0.6056236912952436,0,0,0.0143596403224571,0
0,2018,1,2,0,1,0,0.441818725695483,0,0,-1.1431884582559426,0
2,2017,1,2,0,2,0,0.3685312593478911,0,0,1.672435948266263,0
2,2018,1,2,0,0,0,0.3583607538139395,0,0,0.7568733526288431,0
0,2018,1,7,0,3,0,0.8384684415195931,0,0,-0.0328603820111207,1
0,2018,1,4,0,0,0,0.4896799282081962,0,0,-1.6566898309690214,0
0,2018,0,7,1,0,0,0.3460963206700568,0,0,-0.4534162547522294,1
2,2018,1,4,0,1,1,0.3874962608435536,0,0,-0.0328603820111207,0
0,2018,1,4,0,1,0,0.7043972479808553,0,0,-0.2621411863055919,0
0,2017,1,6,0,1,0,0.4537840263236614,0,0,-1.5506363990851626,1
0,2018,1,4,0,0,0,0.4105892910559377,0,1,-1.7911413536931085,0
1,2018,1,3,0,0,0,0.4193837870176488,0,0,0.69181222134396,0
1,2018,1,6,0,0,0,0.4982351181573437,0,1,0.3993701532815155,1
0,2018,1,4,0,2,0,0.6631767873167812,0,0,-1.047549579600935,0
1,2018,1,3,0,2,0,0.4804068202213581,0,0,1.21474209703279,0
0,2018,0,7,0,0,0,0.4537840263236614,0,0,1.3091737475690068,1
0,2018,0,5,0,0,0,0.4358360753813939,0,0,-1.985608868000325,1
1,2017,1,4,0,1,0,0.4105892910559377,0,1,-1.384355375311487,0
2,2018,1,6,0,0,0,0.3787017648818426,0,0,0.316001044031059,1
1,2018,1,7,0,0,0,0.671552497756506,0,0,0.6139383056034631,1
0,2018,0,5,1,1,0,0.2743045169009871,1,0,-1.985608868000325,1
2,2018,1,2,0,0,0,0.7340113670355967,0,0,0.7106798152491427,0
1,2017,1,2,0,1,0,0.5127131319174393,0,0,-0.3642076811062532,0
0,2017,1,7,0,2,0,0.525575830092731,0,0,-0.6310097636957879,1
0,2018,1,5,0,0,0,0.5154053245587794,0,0,0.0448729401356539,1
0,2018,1,5,0,1,0,0.644630571343105,0,0,0.7200283747713166,1
0,2018,0,5,0,0,0,0.3341310200418785,0,0,0.6139383056034631,1
2,2018,1,3,0,0,0,0.2503739156446306,0,0,0.7200283747713166,0
0,2018,0,5,0,1,0,0.5854023332336225,0,0,1.8834883542811371,1
0,2018,1,5,0,0,0,0.7389769667962905,0,0,-1.2531952897202767,1
1,2018,0,7,0,0,0,0.4238707747532156,0,0,1.34818452406998,1
0,2018,0,5,1,0,0,0.3580616212982351,0,0,-1.384355375311487,1
2,2018,1,1,0,1,0,0.5471133712234518,0,0,-1.7911413536931085,0
2,2018,1,2,0,1,0,0.5948549207298832,0,1,-1.5506363990851626,0
0,2018,1,7,0,2,0,0.6571941370026921,0,0,-0.8492925336098945,1
1,2018,1,7,0,1,0,0.6113072090936283,0,0,-0.2428050558244946,1
0,2018,1,2,0,1,0,0.5973676338618007,0,0,-1.315514612291896,0
1,2018,0,7,0,0,0,0.4238707747532156,0,0,1.34818452406998,1
0,2018,1,6,0,0,0,0.7092431947352675,0,0,1.1296094883125278,1
0,2018,0,5,0,0,0,0.5076278791504636,0,0,-0.0011810930312185,1
0,2018,1,4,0,0,0,0.7768471432844749,0,0,-0.7492897975185061,0
2,2018,1,7,0,0,0,0.6151959317977863,0,0,0.0746650551061651,1
1,2018,1,1,0,1,0,0.2323063116960813,0,1,-1.7911413536931085,0
0,2017,0,6,1,0,0,0.2743045169009871,0,0,-1.7911413536931085,1
2,2018,1,5,0,0,0,0.7166018546215973,0,0,-0.4769549814758576,1
0,2017,1,1,0,1,0,0.4388274005384385,0,1,-1.0938593953815183,0
0,2018,0,5,0,0,0,0.3640442716123243,0,0,1.0169649044655895,1
0,2018,1,7,0,0,0,0.8384684415195931,0,0,0.2403057213172697,1
2,2018,0,2,0,0,0,0.3685312593478911,0,0,0.8367644897724941,0
2,2018,1,1,0,2,0,0.380735865988633,0,0,0.8539895577433687,0
2,2018,0,2,0,0,0,0.6033502841758899,0,0,0.2008076151680192,0
0,2018,1,6,0,1,0,0.6877056536045467,0,0,0.3877592374333348,1
2,2018,1,2,0,1,0,0.4750224349386778,0,0,0.1037762432774275,0
0,2018,1,7,0,1,0,0.4178881244391265,0,1,-0.814687796711879,1
2,2018,1,1,0,2,0,0.6984744241699072,0,0,-0.3430212391179341,0
0,2018,1,6,0,2,0,0.5076278791504636,0,0,-0.3222390721437069,1
0,2018,0,4,0,0,0,0.6631767873167812,0,0,1.4422483457000417,0
2,2018,1,7,0,0,0,0.352078970984146,0,0,1.43612299902001,1
2,2018,1,7,0,2,0,0.7953933592581512,0,0,-0.2428050558244946,1
1,2017,0,6,0,0,0,0.2862698175291654,0,0,0.9935137594962448,1
1,2018,0,3,0,0,0,0.4295542925516003,0,0,0.9211207587548556,0
0,2018,1,4,0,0,0,0.8646126233921625,0,0,-1.6566898309690214,0
2,2018,1,1,0,1,0,0.8376906969787614,0,0,0.4890096334269794,0
0,2018,0,5,0,0,0,0.5076278791504636,0,0,-0.0011810930312185,1
2,2018,1,6,0,1,0,0.4482201615315584,0,0,1.5892929120895172,1
2,2017,0,2,0,0,0,0.3640442716123243,0,0,-1.6566898309690214,0
0,2018,0,7,0,1,0,0.5734370326054441,0,0,1.736521529734345,1
1,2018,0,3,0,0,0,0.2668262040083757,0,0,-0.718282431575302,0
0,2018,1,5,0,0,0,0.4507927011666168,0,1,0.3877592374333348,1
1,2018,0,3,0,0,0,0.3939575231827699,0,0,-0.1331721994535322,0
0,2018,0,4,0,0,0,0.5734370326054441,0,0,0.5938303814077687,0
0,2018,1,7,0,2,0,0.5961711037989829,0,0,0.1600999635136913,1
0,2018,1,6,0,0,0,0.4615614717319772,0,0,1.6560863326446231,1
2,2018,1,7,0,1,0,0.5109183368232126,0,0,0.7106798152491427,1
1,2017,0,4,0,0,0,0.2862698175291654,0,0,1.7259823685935147,0
0,2018,1,5,0,0,0,0.4148967992820819,0,1,1.466552196449639,1
1,2018,0,3,0,1,0,0.5480107687705653,0,0,0.4998335603951988,0
1,2018,1,1,0,2,0,0.8159736763386178,0,0,-1.985608868000325,0
2,2018,1,2,0,1,0,0.3580616212982351,0,1,-1.047549579600935,0
2,2018,0,2,0,0,0,0.4537840263236614,0,0,0.9776959263617326,0
1,2018,1,3,0,0,0,0.6769368830391863,0,0,0.8367644897724941,0
0,2017,0,7,1,0,0,0.2743045169009871,0,0,-0.718282431575302,1
2,2018,1,2,0,1,0,0.2260843553694286,0,0,0.4223108037762752,0
1,2018,0,3,0,0,0,0.5435237810349984,0,0,0.7385591347431675,0
1,2018,1,6,0,1,0,0.678731678133413,0,0,0.5836747532510416,1
0,2018,1,6,0,0,0,0.4119054741250373,0,1,-0.3430212391179341,1
1,2018,1,2,0,0,0,0.477714627580018,0,1,-0.1507417285742625,0
0,2018,1,6,0,1,0,0.4298534250673048,0,0,-1.315514612291896,1
0,2018,1,7,0,1,0,0.4119054741250373,0,1,-0.2428050558244946,1
0,2018,1,4,0,1,0,0.4295542925516003,0,0,1.417625896228395,0
0,2017,0,6,0,0,0,0.5435237810349984,0,0,-1.985608868000325,1
0,2018,1,4,0,2,0,0.4657493269518396,0,0,-1.5506363990851626,0
1,2018,1,3,0,1,0,0.4559976069398744,0,0,0.6139383056034631,0
1,2018,1,7,0,0,0,0.7253963505833083,0,0,-0.3018428446569174,1
1,2018,1,7,0,1,0,0.3592581513610529,0,1,-0.0328603820111207,1
0,2018,1,6,0,1,0,0.741549506431349,0,0,-0.4078740168023441,1
1,2018,1,6,0,1,0,0.7846245886927908,0,0,0.5631544872911395,1
2,2018,1,7,0,1,0,0.4681423870774753,0,0,-0.4078740168023441,1
0,2018,1,5,0,1,0,0.6571941370026921,0,0,-0.3858181592437775,1
0,2018,0,5,0,0,0,0.5734370326054441,0,0,1.6886516700477645,1
0,2018,1,5,0,0,0,0.5973676338618007,0,1,-0.718282431575302,1
0,2017,0,1,0,0,0,0.483697277894107,0,0,1.1150093317488396,0
1,2017,1,3,0,0,0,0.6392461860604247,1,0,-1.6566898309690214,0
0,2018,1,1,0,2,0,0.5154053245587794,0,0,1.0247101089335355,0
1,2018,1,7,0,2,0,0.7050553395154052,0,0,-1.985608868000325,1
1,2017,0,7,0,0,0,0.3999401734968591,0,0,1.4238119366600954,1
1,2018,0,3,0,0,0,0.6033502841758899,0,0,1.22854053438768,0
2,2018,1,1,0,1,0,0.5100209392760993,0,0,0.7385591347431675,0
0,2018,1,7,0,0,0,0.4615614717319772,0,0,1.6285319695210685,1
0,2018,1,7,0,2,0,0.3592581513610529,0,1,0.7477429251771082,1
0,2018,1,6,0,1,0,0.644630571343105,0,0,-0.0328603820111207,1
2,2018,0,2,0,0,0,0.4537840263236614,0,0,0.9776959263617326,0
1,2018,0,1,0,0,0,0.261142686209991,0,0,1.788405822607394,0
2,2018,1,3,0,2,0,0.6631767873167812,0,0,-1.985608868000325,0
1,2018,1,6,0,2,0,0.4804068202213581,0,0,0.9211207587548556,1
0,2018,1,1,0,2,1,0.6033502841758899,0,0,-1.5506363990851626,0
2,2018,1,1,0,1,0,0.3592581513610529,0,1,0.1037762432774275,0
0,2018,1,4,0,2,0,0.7529165420281183,0,0,-1.5506363990851626,0
0,2018,0,4,0,0,0,0.6033502841758899,0,0,1.235399911499953,0
2,2017,0,1,0,0,0,0.2743045169009871,0,0,0.8794884539377366,0
0,2018,1,1,0,1,0,0.5800179479509422,0,1,0.303672549971128,0
2,2018,1,2,0,2,0,0.4651510619204308,0,0,1.0091840482465178,0
0,2018,0,4,1,0,0,0.6093329344899789,0,0,-1.5506363990851626,0
0,2018,0,6,0,0,0,0.7230032904576726,0,0,-0.4769549814758576,1
2,2017,0,2,0,0,0,0.2743045169009871,0,0,1.4905473316502045,0
1,2018,1,3,0,0,0,0.5692491773855817,0,0,0.7928762038744863,0
0,2017,1,7,0,1,0,0.3207298833383189,0,0,0.0143596403224571,1
0,2018,0,4,1,0,0,0.483697277894107,0,0,-1.46168706701608,0
2,2018,1,2,0,0,0,0.3538737660783727,0,0,0.1738091829555801,0
2,2018,1,2,0,0,0,0.6272808854322464,0,0,-1.985608868000325,0
1,2018,1,1,0,2,0,0.373018247083458,0,0,0.4890096334269794,0
2,2018,1,1,0,1,0,0.3610529464552797,0,1,0.4448885989343964,0
2,2018,0,2,0,0,0,0.4537840263236614,0,0,-1.6566898309690214,0
0,2018,0,6,0,0,0,0.483697277894107,0,0,0.9536849723523606,1
2,2018,0,5,0,0,0,0.4651510619204308,0,0,0.8625337702141964,1
2,2018,1,6,0,1,0,0.8262040083757103,0,0,0.3993701532815155,1
0,2017,1,5,0,1,0,0.4579718815435238,0,0,0.4223108037762752,1
0,2018,1,6,0,0,0,0.4992521687107388,0,1,-0.3430212391179341,1
1,2018,1,3,0,0,0,0.4615614717319772,0,0,0.3282204128362821,0
1,2018,0,3,0,0,0,0.4537840263236614,0,0,1.6560863326446231,0
0,2018,0,4,0,1,0,0.6392461860604247,0,0,0.2272686863786324,0
1,2018,1,7,0,1,0,0.560275201914448,0,0,-0.0987961844548332,1
2,2018,0,6,0,0,0,0.1965300628178283,0,0,0.2141036881043859,1
0,2018,1,4,0,0,0,0.6823212683218665,0,0,0.8794884539377366,0
2,2018,1,7,0,1,0,0.3270116661681125,0,0,-0.2818155093780657,1
1,2018,0,7,0,0,0,0.4238707747532156,0,0,0.7659511680124533,1
0,2018,1,4,0,1,0,0.8546215973676338,0,0,-0.885339194262977,0
0,2018,0,5,0,0,0,0.5136105294645528,0,0,0.3282204128362821,1
0,2018,0,5,0,0,0,0.261142686209991,0,0,1.7626302599203965,1
4,2018,1,1,0,2,0,0.7233024229733772,0,0,-0.7813917674178052,0
0,2018,0,7,0,0,0,0.3341310200418785,0,0,1.6285319695210685,1
0,2018,1,7,0,1,0,0.7170206401435835,0,1,-1.985608868000325,1
0,2018,0,7,0,0,0,0.4193837870176488,0,0,-1.985608868000325,1
0,2017,0,1,0,0,0,0.4298534250673048,0,0,-1.7911413536931085,0
0,2017,0,1,0,0,0,0.5375411307209093,0,0,-0.2818155093780657,0
0,2018,1,4,0,1,1,0.4306311696081363,0,0,1.454439466608434,0
1,2018,1,3,0,0,0,0.5261740951241399,0,1,-0.6310097636957879,0
0,2017,1,5,0,2,0,0.3176787316781334,0,0,0.7568733526288431,1
0,2018,1,4,0,1,0,0.352078970984146,0,1,-1.985608868000325,0
1,2018,1,3,0,1,0,0.4658689799581214,0,0,-1.384355375311487,0
0,2018,0,4,0,0,0,0.4537840263236614,0,0,-0.2621411863055919,0
0,2018,0,7,0,0,0,0.4537840263236614,0,0,1.172690759504972,1
0,2017,0,6,0,0,0,0.5644630571343104,0,0,0.6630716990212818,1
2,2018,1,2,0,0,0,0.4321268321866586,0,1,1.0477357402356329,0
0,2018,0,4,0,0,0,0.5435237810349984,0,0,1.1296094883125278,0
1,2017,1,3,0,0,0,0.4178881244391265,0,1,-1.985608868000325,0
2,2017,1,3,0,1,0,0.5056536045468142,0,0,-1.1960679773682703,0
1,2018,0,3,0,0,0,0.6033502841758899,0,0,1.22854053438768,0
1,2018,0,3,0,1,0,0.3341310200418785,0,0,0.0598565434290817,0
1,2018,1,3,0,1,0,0.6392461860604247,0,0,-0.2237932639533717,0
2,2018,1,7,0,4,0,0.678731678133413,0,0,1.2959824482391158,1
0,2018,1,5,0,0,0,0.651211486688603,0,0,0.2272686863786324,1
0,2017,0,1,0,0,0,0.5375411307209093,0,0,-0.2818155093780657,0
2,2018,1,2,0,0,0,0.4507927011666168,0,1,0.3993701532815155,0
0,2018,1,1,0,2,0,0.3786419383787017,0,0,-0.1685781582022173,0
0,2018,1,5,0,0,0,0.3855219862399042,0,1,0.376052067764775,1
0,2018,1,5,0,1,0,0.5315584804068202,0,1,-0.1685781582022173,1
1,2018,1,7,0,1,0,0.2461262339216273,0,0,0.1037762432774275,1
0,2017,0,1,0,0,0,0.4926712533652408,0,0,-0.2818155093780657,0
1,2018,1,3,0,1,0,0.7170206401435835,0,1,-0.5510080442930118,0
0,2017,0,6,1,0,0,0.2743045169009871,0,0,-1.047549579600935,1
3,2018,1,3,0,0,0,0.6392461860604247,0,0,-0.0011810930312185,0
0,2018,1,4,0,1,0,0.644630571343105,0,0,-0.0169190255299602,0
1,2018,1,2,0,0,0,0.4184863894705353,0,0,0.132243302045638,0
1,2017,1,4,0,2,0,0.4336224947651809,0,0,0.1180881129654652,0
0,2018,0,1,1,0,0,0.3700269219264134,0,0,0.5527874866365081,0
2,2018,1,1,0,0,0,0.611546515106192,0,0,0.6436080330474707,0
0,2018,0,4,0,0,0,0.5435237810349984,0,0,1.1296094883125278,0
0,2018,1,5,0,1,0,0.5973676338618007,0,1,-0.6310097636957879,1
2,2018,1,2,0,0,0,0.4295542925516003,0,0,-0.3018428446569174,0
2,2018,1,4,0,1,0,0.6607837271911455,0,0,-0.4534162547522294,0
1,2018,1,3,0,1,0,0.4178881244391265,0,1,-1.46168706701608,0
0,2018,1,4,0,0,0,0.5836075381393957,0,0,1.2826945029096373,0
0,2018,1,4,0,2,0,0.7092431947352675,0,0,0.69181222134396,0
2,2018,1,7,0,2,0,0.3888722704157942,0,0,1.6560863326446231,1
0,2017,0,7,0,0,0,0.5136105294645528,0,0,0.4108867252696357,1
0,2018,1,4,0,1,0,0.3843254561770864,0,1,-1.2531952897202767,0
1,2018,1,3,0,1,0,0.8330840562369128,0,0,-0.1685781582022173,0
1,2018,1,3,0,1,0,0.5907867185163027,0,0,-0.2818155093780657,0
0,2018,1,7,0,1,0,0.3592581513610529,0,1,-0.0653798814208076,1
2,2018,1,7,0,1,0,0.6438528268022733,0,0,-0.3018428446569174,1
0,2018,1,7,0,0,0,0.7792402034101106,0,0,0.6630716990212818,1
0,2018,1,6,0,1,0,0.5800179479509422,0,1,0.69181222134396,1
1,2017,0,4,0,0,0,0.2413999401734968,0,0,1.7259823685935147,0
2,2018,0,2,0,0,0,0.3401136703559677,0,0,0.7106798152491427,0
0,2018,1,5,0,2,0,0.7170206401435835,0,1,-1.985608868000325,1
0,2018,0,6,0,0,0,0.5136105294645528,0,0,-0.3222390721437069,1
1,2018,1,3,0,1,0,0.3969488483398145,0,1,1.0091840482465178,0
1,2018,1,3,0,2,0,0.6877056536045467,0,0,0.4671172426151201,0
0,2018,1,1,0,1,0,0.365839066706551,0,0,-0.3642076811062532,0
0,2018,1,7,0,2,0,0.8384684415195931,0,0,-0.1685781582022173,1
0,2017,0,7,1,0,0,0.2743045169009871,1,0,-1.985608868000325,1
2,2018,1,1,0,2,0,0.5617708644929703,0,0,0.8193532197223308,0
1,2018,1,1,0,1,0,0.3941370026921926,0,0,-1.5506363990851626,0
2,2018,1,1,0,0,0,0.4657493269518396,0,0,-0.9229839521930266,0
0,2018,0,7,0,0,0,0.5435237810349984,0,0,1.7259823685935147,1
0,2018,1,5,0,0,0,0.4375112174693389,0,0,0.0893033890257622,1
2,2018,1,1,0,0,0,0.5719413700269218,0,0,1.242233058484495,0
1,2018,0,7,0,0,0,0.3361052946455279,0,0,0.0297091017727521,1
0,2018,1,6,0,1,0,0.385641639246186,0,0,-0.2237932639533717,1
1,2018,1,6,0,0,0,0.6227938976966796,0,0,1.172690759504972,1
1,2018,1,1,0,0,0,0.5315584804068202,0,0,-1.5506363990851626,0
0,2017,1,5,0,2,0,0.2922524678432545,0,0,0.6533708236790631,1
1,2018,0,1,0,0,0,0.2623392162728089,0,0,-0.4534162547522294,0
2,2018,1,7,0,1,0,0.4804068202213581,0,0,1.1868193274175365,1
0,2018,1,5,0,0,0,0.6984744241699072,0,0,0.4671172426151201,1
2,2018,0,1,0,0,0,0.4295542925516003,0,0,0.7659511680124533,0
0,2018,0,4,0,1,0,0.2743045169009871,0,0,-0.6036087123507768,0
1,2018,1,1,0,1,0,0.4454083158839365,0,0,0.3403329855090177,0
0,2018,1,6,0,3,0,0.8366736464253663,0,1,-1.384355375311487,1
2,2018,1,6,0,2,0,0.4651510619204308,0,0,-0.1685781582022173,1
